product_id,product_name,category,subcategory,cost_price
1,Oneplus 12,Electronics,Mobile,49796.78
2,Samsung Galaxy S24,Electronics,Mobile,44374.24
3,Jeans,Clothing,Women,18613.47
4,Long Walk To Freedom,Books,Biography,36357.3
5,Steve Jobs,Books,Biography,41701.28
6,The Alchemist,Books,Fiction,34545.01
7,Jeans,Clothing,Women,47532.7
8,Water Bottle,Home,Kitchen,18430.01
9,Knife Set,Home,Kitchen,13866.48
10,Macbook Air,Electronics,Laptop,33172.16
11,Oneplus 12,Electronics,Mobile,12254.09
12,School Uniform,Clothing,Kids,3523.65
13,School Uniform,Clothing,Kids,40671.34
14,Saree,Clothing,Women,39453.32
15,Dell Inspiron,Electronics,Laptop,49377.61
16,Mixer Grinder,Home,Kitchen,33086.78
17,Iphone 15,Electronics,Mobile,17976.29
18,Shorts,Clothing,Kids,887.48
19,Pressure Cooker,Home,Kitchen,37111.73
20,Bluetooth Speaker,Electronics,Accessories,23864.67
21,Mirror,Home,Decor,5541.8
22,Kids T-Shirt,Clothing,Kids,36389.43
23,Bed,Home,Furniture,48204.91
24,Lenovo Thinkpad,Electronics,Laptop,21371.05
25,Acer Aspire,Electronics,Laptop,45494.07
26,Oneplus 12,Electronics,Mobile,30454.04
27,Oneplus 12,Electronics,Mobile,31253.44
28,Bookshelf,Home,Furniture,26574.79
29,Becoming,Books,Biography,21566.95
30,Smart Watch,Electronics,Accessories,43897.54
31,Jeans,Clothing,Women,44415.74
32,The Hobbit,Books,Fiction,19996.64
33,Lenovo Thinkpad,Electronics,Laptop,15694.93
34,Study Table,Home,Furniture,34372.37
35,Python Programming,Books,Education,41605.42
36,Macbook Air,Electronics,Laptop,37254.99
37,Dinner Set,Home,Kitchen,3093.05
38,Wall Clock,Home,Decor,20599.35
39,Steve Jobs,Books,Biography,48423.09
40,Office Chair,Home,Furniture,28938.13
41,Hoodie,Clothing,Men,24161.25
42,Asus Vivobook,Electronics,Laptop,18441.3
43,Flower Vase,Home,Decor,40380.35
44,Smart Watch,Electronics,Accessories,41490.09
45,Pressure Cooker,Home,Kitchen,13736.19
46,Sofa,Home,Furniture,404.68
47,Shoes,Clothing,Kids,20099.14
48,Shoes,Clothing,Kids,48593.33
49,Usb Cable,Electronics,Accessories,10835.13
50,Sherlock Holmes,Books,Fiction,7954.72
51,Painting,Home,Decor,38864.1
52,Samsung Galaxy S24,Electronics,Mobile,7954.75
53,Bluetooth Speaker,Electronics,Accessories,13677.93
54,1984,Books,Fiction,22158.0
55,Dinner Set,Home,Kitchen,5779.49
56,Operating System,Books,Education,33943.07
57,Long Walk To Freedom,Books,Biography,15490.13
58,Dress,Clothing,Women,2833.62
59,Saree,Clothing,Women,38390.74
60,Sofa,Home,Furniture,6087.22
61,Wings Of Fire,Books,Biography,8867.17
62,Long Walk To Freedom,Books,Biography,11582.52
63,Knife Set,Home,Kitchen,43102.04
64,Macbook Air,Electronics,Laptop,23041.74
65,Asus Vivobook,Electronics,Laptop,21521.29
66,Long Walk To Freedom,Books,Biography,20942.93
67,Macbook Air,Electronics,Laptop,48313.36
68,Jacket,Clothing,Kids,41618.09
69,Knife Set,Home,Kitchen,42239.77
70,Dress,Clothing,Women,20082.45
71,Hp Pavilion,Electronics,Laptop,37315.66
72,Saree,Clothing,Women,3911.33
73,Usb Cable,Electronics,Accessories,9775.79
74,Bed,Home,Furniture,47915.35
75,Cotton Shirt,Clothing,Men,7407.57
76,Jacket,Clothing,Men,7728.2
77,Redmi Note 13,Electronics,Mobile,24756.44
78,Becoming,Books,Biography,32185.29
79,Painting,Home,Decor,7632.77
80,Lenovo Thinkpad,Electronics,Laptop,31606.12
81,Wall Clock,Home,Decor,17661.92
82,Lenovo Thinkpad,Electronics,Laptop,22650.5
83,Hp Pavilion,Electronics,Laptop,3928.88
84,Usb Cable,Electronics,Accessories,25402.68
85,Becoming,Books,Biography,47716.15
86,Asus Vivobook,Electronics,Laptop,32626.69
87,Lamp,Home,Decor,25118.23
88,Macbook Air,Electronics,Laptop,40567.24
89,Wall Clock,Home,Decor,25277.0
90,Formal Pant,Clothing,Men,35410.32
91,Becoming,Books,Biography,30529.29
92,Sofa,Home,Furniture,19432.09
93,Mirror,Home,Decor,2713.04
94,Gas Stove,Home,Kitchen,4815.85
95,Sherlock Holmes,Books,Fiction,36214.31
96,Kurti,Clothing,Women,29178.7
97,Top,Clothing,Women,48388.06
98,Machine Learning,Books,Education,35470.82
99,Asus Vivobook,Electronics,Laptop,18896.3
100,Water Bottle,Home,Kitchen,35171.26
101,Smart Watch,Electronics,Accessories,21227.98
102,Gas Stove,Home,Kitchen,15512.42
103,Jeans,Clothing,Women,9681.06
104,Cotton Shirt,Clothing,Men,14860.03
105,Usb Cable,Electronics,Accessories,41772.48
106,Keyboard,Electronics,Accessories,43832.0
107,Jacket,Clothing,Kids,7797.21
108,Cap,Clothing,Kids,40471.28
109,Jacket,Clothing,Kids,2280.25
110,Carpet,Home,Decor,11952.76
111,Elon Musk,Books,Biography,37644.32
112,Machine Learning,Books,Education,12034.51
113,Operating System,Books,Education,33947.51
114,Sherlock Holmes,Books,Fiction,38928.39
115,Dbms,Books,Education,40082.84
116,Kurti,Clothing,Women,32094.83
117,Wall Clock,Home,Decor,35598.91
118,Macbook Air,Electronics,Laptop,38179.53
119,Bookshelf,Home,Furniture,7452.7
120,Dbms,Books,Education,40853.49
121,Knife Set,Home,Kitchen,2757.52
122,Knife Set,Home,Kitchen,49726.82
123,Mixer Grinder,Home,Kitchen,16002.38
124,Smart Watch,Electronics,Accessories,16830.99
125,Cotton Shirt,Clothing,Men,14415.28
126,Apj Abdul Kalam,Books,Biography,37966.17
127,1984,Books,Fiction,362.03
128,Oneplus 12,Electronics,Mobile,10861.17
129,Shoes,Clothing,Kids,30483.12
130,Operating System,Books,Education,11958.25
131,Samsung Galaxy S24,Electronics,Mobile,21049.29
132,Python Programming,Books,Education,41850.72
133,Becoming,Books,Biography,920.12
134,School Uniform,Clothing,Kids,14634.47
135,Keyboard,Electronics,Accessories,12104.16
136,Java Programming,Books,Education,33443.92
137,Dinner Set,Home,Kitchen,27249.69
138,Lenovo Thinkpad,Electronics,Laptop,2272.37
139,Sherlock Holmes,Books,Fiction,37391.1
140,Gas Stove,Home,Kitchen,12132.18
141,Smart Watch,Electronics,Accessories,37858.28
142,T-Shirt,Clothing,Men,27346.09
143,Jacket,Clothing,Kids,49042.88
144,Apj Abdul Kalam,Books,Biography,40593.73
145,Power Bank,Electronics,Accessories,1945.49
146,Formal Pant,Clothing,Men,44300.94
147,Bookshelf,Home,Furniture,19971.38
148,The Alchemist,Books,Fiction,37689.22
149,Top,Clothing,Women,43120.71
150,Keyboard,Electronics,Accessories,13733.51
151,Wardrobe,Home,Furniture,37191.05
152,Harry Potter,Books,Fiction,24860.54
153,1984,Books,Fiction,13409.36
154,Power Bank,Electronics,Accessories,4038.46
155,Shorts,Clothing,Kids,16128.45
156,Acer Aspire,Electronics,Laptop,14852.43
157,Long Walk To Freedom,Books,Biography,21363.19
158,The Hobbit,Books,Fiction,2213.52
159,Lamp,Home,Decor,13800.31
160,Redmi Note 13,Electronics,Mobile,31911.88
161,Carpet,Home,Decor,34002.59
162,Realme Gt,Electronics,Mobile,33936.63
163,Dbms,Books,Education,3454.94
164,Wardrobe,Home,Furniture,47478.41
165,Wireless Mouse,Electronics,Accessories,33985.2
166,Wardrobe,Home,Furniture,38177.92
167,Shorts,Clothing,Kids,19961.9
168,Mixer Grinder,Home,Kitchen,1393.08
169,Dress,Clothing,Women,19410.67
170,Hp Pavilion,Electronics,Laptop,35231.49
171,Shorts,Clothing,Kids,34729.63
172,Python Programming,Books,Education,6872.85
173,Dell Inspiron,Electronics,Laptop,44944.08
174,Java Programming,Books,Education,48381.31
175,Painting,Home,Decor,35506.07
176,Study Table,Home,Furniture,35619.27
177,Dress,Clothing,Women,11289.66
178,Formal Pant,Clothing,Men,39539.62
179,Asus Vivobook,Electronics,Laptop,28656.64
180,Apj Abdul Kalam,Books,Biography,30636.22
181,Oneplus 12,Electronics,Mobile,19968.18
182,Wings Of Fire,Books,Biography,38481.31
183,Oneplus 12,Electronics,Mobile,32152.7
184,The Silent Patient,Books,Fiction,25916.26
185,Shoes,Clothing,Kids,29430.52
186,Dress,Clothing,Women,45544.54
187,Realme Gt,Electronics,Mobile,7735.47
188,T-Shirt,Clothing,Men,46743.42
189,Dress,Clothing,Women,44756.8
190,Dell Inspiron,Electronics,Laptop,31789.35
191,Water Bottle,Home,Kitchen,15210.95
192,Smart Watch,Electronics,Accessories,8514.93
193,Hoodie,Clothing,Men,31261.51
194,Wall Clock,Home,Decor,41279.29
195,Iphone 15,Electronics,Mobile,47432.49
196,Flower Vase,Home,Decor,38371.25
197,Long Walk To Freedom,Books,Biography,1611.27
198,Painting,Home,Decor,24198.95
199,The Hobbit,Books,Fiction,3741.35
