item_id,order_id,product_id,quantity,unit_price,discount_percent
1,815,79,3,9936.77,19
2,444,553,3,35642.58,25
3,258,528,-4,67161.87,35
4,185,20,5,34486.45,36
5,512,219,4,22601.44,40
6,546,445,5,53748.65,3
7,535,206,3,55539.76,15
8,155,308,4,13831.49,4
9,650,209,4,30071.33,18
10,662,165,3,46720.88,15
11,416,245,1,55371.86,1
12,252,318,4,36447.31,27
13,433,38,2,23972.36,8
14,30,265,3,11191.97,11
15,660,44,4,58621.08,3
16,881,86,3,43740.64,4
17,923,417,3,3188.56,5
18,407,144,2,46470.6,47
19,513,124,5,22985.86,37
20,973,538,3,20056.29,5
21,244,126,3,46763.48,37
22,755,400,2,61298.65,13
23,148,110,2,14171.71,17
24,451,419,3,37354.64,3
25,503,547,3,18863.34,7
26,325,559,4,4098.52,15
27,987,285,2,9435.66,45
28,377,316,1,25649.32,38
29,36,56,2,40772.18,24
30,317,372,1,44696.82,15
31,879,454,4,34942.44,25
32,950,262,3,34286.22,48
33,242,305,2,4992.29,10
34,938,450,3,54575.78,49
35,660,417,1,2818.01,5
36,843,504,4,20078.84,21
37,735,433,1,13202.29,44
38,268,519,1,10456.21,38
39,747,561,3,60073.96,1
40,781,54,2,29959.0,50
41,657,140,1,15289.76,40
42,313,322,5,21435.1,10
43,256,529,2,62320.95,43
44,421,328,4,35704.12,47
45,137,267,2,54393.53,20
46,819,289,2,3379.82,23
47,187,403,4,33265.27,36
48,230,22,1,53464.99,41
49,627,235,1,68574.6,12
50,269,173,1,56648.15,27
51,615,267,2,44924.52,23
52,175,581,1,45146.43,33
53,446,465,4,26148.57,45
54,209,196,3,46628.16,31
55,392,134,4,21110.74,38
56,221,290,-2,45866.89,26
57,812,150,1,16701.01,16
58,242,462,2,30602.39,43
59,663,470,1,31952.24,8
60,893,332,4,25567.68,45
61,393,434,5,25216.38,6
62,571,61,-1,10934.51,15
63,483,363,5,70949.07,38
64,727,47,1,24148.37,39
65,391,310,4,21914.26,8
66,992,573,1,42854.52,16
67,174,516,4,20126.72,29
68,136,92,3,26896.0,27
69,146,267,1,48472.33,8
70,512,288,-3,9828.82,18
71,925,270,5,13345.54,16
72,530,321,4,6868.55,20
73,755,504,2,19035.05,42
74,652,451,1,15534.52,3
75,236,188,-1,60210.15,10
76,723,479,4,5331.77,31
77,42,453,3,44024.44,35
78,497,469,4,15457.44,46
79,888,152,1,30823.13,13
80,890,291,2,53509.94,47
81,521,280,5,40059.74,37
82,218,598,1,45482.44,36
83,185,427,1,11905.54,31
84,694,97,3,53729.37,43
85,697,125,4,18010.79,6
86,858,332,2,20672.8,29
87,851,492,4,26031.17,17
88,609,6,3,51399.8,41
89,638,464,3,29878.47,46
90,929,583,2,10527.55,3
91,821,290,3,51365.36,47
92,73,561,5,58726.09,25
93,262,183,2,47779.55,25
94,92,22,2,42400.1,49
95,413,292,2,19855.37,31
96,821,443,3,2530.55,38
97,135,368,1,31394.11,32
98,205,502,4,42766.18,30
99,275,577,5,1777.6,48
100,433,378,5,6109.21,40
101,437,96,1,38088.02,29
102,693,230,2,43016.42,33
103,645,538,1,18785.2,27
104,82,490,3,39838.04,8
105,701,308,2,14325.32,18
106,583,49,5,12250.34,2
107,526,111,5,47806.98,6
108,476,583,3,11039.79,37
109,84,516,1,15662.1,42
110,474,184,2,37245.91,2
111,86,427,3,12174.91,46
112,466,461,5,50661.56,21
113,990,192,2,9996.83,47
114,619,266,1,45793.28,1
115,6,405,1,43723.18,41
116,489,472,4,56765.78,47
117,617,499,3,40067.76,39
118,370,405,3,44899.3,8
119,15,196,1,54732.26,44
120,994,193,1,37003.99,41
121,149,248,4,59506.26,50
122,552,196,1,46827.01,29
123,152,486,4,42902.93,10
124,925,157,4,31736.02,30
125,21,461,5,42613.37,18
126,584,402,1,40666.46,6
127,646,443,4,2492.37,47
128,593,568,3,12055.89,25
129,498,526,5,39776.88,43
130,927,500,2,9264.83,33
131,20,433,5,11323.93,4
132,275,428,4,49478.31,39
133,962,356,4,26091.84,1
134,166,295,2,62992.59,28
135,238,520,2,59709.37,43
136,348,480,2,34722.46,46
137,729,400,4,59595.17,43
138,669,369,4,54628.43,10
139,637,213,3,699.22,5
140,684,495,2,49590.5,10
141,621,504,1,20404.42,31
142,311,241,2,19834.51,1
143,368,268,3,58698.76,11
144,848,516,1,19451.27,21
145,441,117,5,42386.77,35
146,230,499,3,44530.27,50
147,364,48,5,58651.98,9
148,874,528,5,67121.16,45
149,52,449,4,73495.28,48
150,114,109,5,3064.34,6
151,844,576,1,32793.8,10
152,646,121,2,4038.1,10
153,746,300,4,68731.52,31
154,751,102,2,21078.85,21
155,839,142,1,39363.0,28
156,993,426,1,47919.27,30
157,350,294,5,16856.65,17
158,382,425,3,50882.26,15
159,156,543,4,45130.71,8
160,822,440,4,37151.7,29
161,975,529,3,63997.76,28
162,150,11,5,18104.89,5
163,347,323,4,60087.4,10
164,445,63,4,60501.34,42
165,945,155,5,18114.25,40
166,731,533,3,63246.12,43
167,718,567,3,26659.01,20
168,932,353,1,32914.14,33
169,626,151,4,47547.85,13
170,909,558,5,7338.78,41
171,453,354,4,21249.32,19
172,87,38,5,25415.42,46
173,737,130,5,17898.74,18
174,219,96,5,38536.73,33
175,349,164,1,52755.94,50
176,553,265,2,11761.83,19
177,744,433,5,10565.24,3
178,862,382,3,28027.82,22
179,127,49,1,13863.49,36
180,755,6,4,42683.54,15
181,825,596,5,50783.92,40
182,682,547,5,16316.34,19
183,292,587,2,12278.05,33
184,756,254,1,60199.9,37
185,198,370,-4,36161.17,45
186,436,422,1,24629.23,27
187,910,134,4,17355.22,4
188,379,539,4,28106.39,33
189,798,405,3,52757.98,40
190,434,451,4,18403.63,26
191,844,167,2,25996.67,31
192,729,469,2,20077.36,32
193,884,542,1,5974.96,29
194,485,34,2,50789.57,23
195,944,122,5,71652.72,7
196,124,379,5,27353.03,33
197,157,121,3,3369.61,23
198,311,302,4,25652.07,9
199,146,432,1,23194.48,19
200,911,291,2,43779.86,47
201,501,3,1,24551.44,4
202,892,46,4,523.04,19
203,580,464,3,28536.48,30
204,855,136,2,43540.82,29
205,780,461,4,41279.89,46
206,334,92,5,26540.37,26
207,397,239,4,41795.18,2
208,982,454,3,43026.6,10
209,725,26,5,41175.19,49
210,725,317,5,20515.93,41
211,573,88,2,60123.38,34
212,591,55,5,7563.63,48
213,488,515,1,44310.71,34
214,185,20,3,33761.42,15
215,850,594,4,53407.0,34
216,622,329,4,35698.3,31
217,883,24,3,27243.96,26
218,25,541,3,25947.5,5
219,118,102,5,18107.06,9
220,188,262,1,35058.52,26
221,695,174,1,65111.09,20
222,186,28,1,32400.24,6
223,328,146,4,64555.53,16
224,385,124,1,19877.8,48
225,612,243,4,22817.23,32
226,395,118,3,42923.44,29
227,567,417,1,3013.83,26
228,649,240,1,11707.07,37
229,692,104,2,20881.19,41
230,805,129,3,40460.19,28
231,86,513,2,67344.51,9
232,383,554,2,6571.71,34
233,976,434,5,26856.38,0
234,833,476,5,5783.9,10
235,1,62,-4,14006.99,16
236,860,390,3,628.95,13
