order_id,customer_id,region_code,status,order_date
1,77.0,NORTH,RETURNED,2025-04-25 02:33:10
2,495.0,WEST,PLACED,2025-12-26 07:20:25
3,169.0,WEST,RETURNED,2024-12-05 15:19:27
4,55.0,EAST,PLACED,2025-01-12 06:26:09
5,195.0,EAST,CANCELLED,2025-12-31 17:08:05
6,289.0,SOUTH,DELIVERED,2024-10-19 02:41:59
7,51.0,WEST,CANCELLED,2024-12-02 21:49:17
8,56.0,NORTH,DELIVERED,2025-07-03 17:51:01
9,90.0,WEST,DELIVERED,2025-01-07 16:54:20
10,100.0,SOUTH,PLACED,2024-12-16 07:14:25
11,299.0,WEST,PLACED,2026-05-22 23:41:35
12,119.0,WEST,DELIVERED,2025-08-06 09:44:18
13,501.0,NORTH,DELIVERED,2025-12-17 03:57:14
14,558.0,SOUTH,CANCELLED,2025-05-20 19:01:16
15,391.0,SOUTH,DELIVERED,2025-07-17 20:33:03
16,46.0,WEST,DELIVERED,2025-08-01 20:00:22
17,270.0,EAST,SHIPPED,2025-10-17 21:00:58
18,64.0,NORTH,SHIPPED,2024-10-11 04:23:51
19,353.0,WEST,RETURNED,2026-03-16 04:04:33
20,233.0,NORTH,RETURNED,2026-05-20 16:17:33
21,,WEST,RETURNED,2025-09-25 13:24:34
22,487.0,SOUTH,RETURNED,2025-08-10 12:52:11
23,,WEST,PLACED,2026-07-07 19:41:03
24,36.0,SOUTH,RETURNED,2024-11-07 00:54:50
25,460.0,SOUTH,SHIPPED,2025-01-17 04:36:58
26,198.0,NORTH,SHIPPED,2025-06-30 10:58:39
27,81.0,SOUTH,CANCELLED,2026-05-06 12:24:08
28,152.0,EAST,RETURNED,2025-04-10 23:15:35
29,69.0,WEST,PLACED,2025-10-11 18:04:40
30,407.0,EAST,RETURNED,2026-06-01 23:19:46
31,283.0,WEST,RETURNED,2026-07-18 23:50:04
32,13.0,WEST,RETURNED,2024-11-01 00:12:02
33,425.0,SOUTH,SHIPPED,2025-10-19 16:46:25
34,597.0,NORTH,PLACED,2025-10-16 15:52:58
35,104.0,EAST,DELIVERED,2026-06-18 11:49:10
36,421.0,WEST,DELIVERED,2025-12-27 04:49:27
37,498.0,WEST,RETURNED,2024-09-03 17:06:29
38,177.0,WEST,DELIVERED,2024-11-25 08:18:20
39,,WEST,PLACED,2026-06-27 13:33:45
40,340.0,NORTH,SHIPPED,2026-03-07 20:28:54
41,487.0,EAST,DELIVERED,2024-08-21 07:51:57
42,346.0,EAST,DELIVERED,2025-03-11 08:44:16
43,504.0,SOUTH,PLACED,2024-11-17 23:49:30
44,308.0,EAST,CANCELLED,2025-03-02 21:02:59
45,427.0,NORTH,RETURNED,2024-12-29 14:04:21
46,453.0,WEST,SHIPPED,2026-03-04 02:54:34
47,497.0,EAST,RETURNED,2026-05-05 07:34:15
48,58.0,SOUTH,RETURNED,2024-09-25 13:53:11
49,319.0,WEST,RETURNED,18-11-2024
